timestamp,x,y,z,label
1.3216,81,-165,-165,jump
1.3798,80,-147,-178,jump
1.4381,66,-185,-145,jump
1.4967,74,-165,-190,jump
1.5548,66,-175,-148,jump
1.6132,72,-194,-142,jump
1.6717,97,-156,-179,jump
1.7298,66,-207,-133,jump
1.7882,85,-155,-168,jump
1.8467,90,-191,-149,jump
1.9059,128,-113,-197,jump
1.9643,83,-171,-153,jump
2.0226,118,-91,-223,jump
2.0819,121,-102,-190,jump
2.1403,111,-93,-193,jump
2.1987,139,-78,-207,jump
2.2551,121,1,-220,jump
2.3138,131,-44,-215,jump
2.3724,120,-20,-192,jump
2.4298,155,28,-203,jump
2.4876,105,53,-216,jump
2.545,129,84,-204,jump
2.6038,112,104,-216,jump
2.6624,114,112,-214,jump
2.7211,112,115,-205,jump
2.7798,106,114,-204,jump
2.8385,107,119,-211,jump
2.8972,102,113,-201,jump
2.9549,99,114,-203,jump
3.0127,95,116,-201,jump
0.0589,88,51,-231,jump
0.1159,91,53,-230,jump
0.1729,91,50,-231,jump
0.2301,94,50,-230,jump
0.287,90,55,-233,jump
0.3441,93,51,-232,jump
0.4011,94,59,-244,jump
0.4582,97,46,-239,jump
0.5152,97,17,-229,jump
0.5719,103,5,-225,jump
0.6307,111,-34,-219,jump
0.6896,108,-52,-231,jump
0.7474,95,-51,-192,jump
0.8062,114,-95,-216,jump
0.8646,109,-77,-221,jump
0.9233,94,-104,-185,jump
0.982,118,-87,-221,jump
1.0406,107,-93,-194,jump
1.0993,108,-83,-201,jump
1.1582,127,-64,-218,jump
1.2164,119,-68,-218,jump
1.275,122,-50,-230,jump
1.3338,106,-65,-205,jump
1.3924,101,-50,-196,jump
1.4512,127,-31,-243,jump
1.5076,98,-4,-203,jump
1.5643,101,7,-218,jump
1.6221,126,26,-247,jump
1.6787,96,46,-230,jump
1.7363,104,48,-233,jump
1.7931,90,57,-231,jump
1.8501,98,67,-243,jump
1.9065,80,62,-227,jump
1.9633,85,63,-225,jump
2.0202,92,63,-233,jump
2.0768,88,62,-230,jump
2.1335,89,61,-232,jump
2.1903,88,61,-230,jump
2.2472,89,61,-226,jump
2.3036,85,59,-231,jump
2.3605,93,57,-231,jump
2.4172,89,57,-226,jump
2.4742,92,57,-233,jump
2.5308,92,58,-230,jump
2.5875,90,57,-228,jump
2.6443,96,57,-230,jump
2.7012,92,56,-231,jump
2.7581,91,59,-228,jump
2.8147,94,57,-230,jump
2.8714,96,57,-232,jump
2.9282,91,57,-229,jump
2.9851,88,57,-228,jump
0.0639,88,61,-227,jump
0.1208,87,62,-230,jump
0.1778,88,61,-232,jump
0.2345,90,61,-228,jump
0.2912,92,57,-231,jump
0.3481,93,50,-236,jump
0.4048,92,52,-229,jump
0.4628,129,23,-286,jump
0.5208,96,-12,-211,jump
0.5784,87,-82,-154,jump
0.6369,88,-103,-161,jump
0.6963,112,-149,-182,jump
0.7558,112,-163,-193,jump
0.814,81,-146,-163,jump
0.8724,71,-164,-142,jump
0.9307,86,-182,-147,jump
0.9901,100,-189,-163,jump
1.0484,85,-180,-150,jump
1.1067,87,-169,-162,jump
1.165,63,-197,-136,jump
1.2233,75,-189,-167,jump
1.2818,72,-198,-146,jump
1.34,98,-156,-174,jump
1.3994,106,-108,-164,jump
1.4588,117,-179,-185,jump
1.5171,101,-86,-179,jump
1.5757,144,-87,-184,jump
1.6348,126,-256,-239,jump
1.6932,161,-61,-215,jump
1.7498,148,0,-233,jump
1.8083,144,253,-214,jump
1.8648,120,4,-207,jump
1.9221,105,35,-193,jump
1.9798,116,48,-226,jump
2.0361,94,68,-224,jump
2.0938,103,69,-235,jump
2.1503,83,77,-233,jump
2.2068,70,84,-225,jump
2.2633,72,85,-226,jump
2.3199,78,85,-236,jump
2.3764,75,91,-232,jump
2.4328,81,92,-223,jump
2.4897,77,91,-222,jump
2.5459,88,90,-223,jump
2.6027,82,84,-219,jump
2.6592,87,94,-229,jump
2.7158,74,90,-223,jump
2.7724,73,89,-226,jump
2.829,83,93,-226,jump
2.8857,81,92,-219,jump
2.9422,77,90,-221,jump
2.9987,81,91,-225,jump
0.0661,95,91,-221,jump
0.1226,96,91,-221,jump
0.1794,94,90,-218,jump
0.2363,96,90,-221,jump
0.2931,94,89,-220,jump
0.3497,91,89,-219,jump
0.4066,98,91,-222,jump
